template_index,mode_index,mode,template_sample_id,template_location,template_anchor,template_coverage,pred_loss_wm2,target_loss_wm2,abs_error_wm2,score,image_l1_vs_input,coverage,coverage_base
2,0,keep,helsinki_fi_20250809T100000Z_s2b_msil2a_20250809t0950,helsinki_fi,2025-08-09T10:00:00+00:00,0.18623294060428938,93.61795806884766,100.0,6.382041931152344,6.382041931152344,0.0,0.4976651072502136,0.4976651072502136
3,0,keep,oslo_no_20250723T110000Z_s2c_msil2a_20250723t1050,oslo_no,2025-07-23T11:00:00+00:00,0.18188480536142984,93.61795806884766,100.0,6.382041931152344,6.382041931152344,0.0,0.4976651072502136,0.4976651072502136
4,0,keep,oslo_no_20250728T110000Z_s2b_msil2a_20250728t1046,oslo_no,2025-07-28T11:00:00+00:00,0.19346728920936584,93.61795806884766,100.0,6.382041931152344,6.382041931152344,0.0,0.4976651072502136,0.4976651072502136
5,0,keep,athens_gr_20250429T090000Z_s2b_msil2a_20250429t0905,athens_gr,2025-04-29T09:00:00+00:00,0.1863303780555725,93.61795806884766,100.0,6.382041931152344,6.382041931152344,0.0,0.4976651072502136,0.4976651072502136
6,0,keep,reykjavik_is_20250607T130000Z_s2b_msil2a_20250607t1302,reykjavik_is,2025-06-07T13:00:00+00:00,0.19317072133223215,93.61795806884766,100.0,6.382041931152344,6.382041931152344,0.0,0.4976651072502136,0.4976651072502136
7,0,keep,helsinki_fi_20250806T100000Z_s2b_msil2a_20250806t0940,helsinki_fi,2025-08-06T10:00:00+00:00,0.17310794815421104,93.61795806884766,100.0,6.382041931152344,6.382041931152344,0.0,0.4976651072502136,0.4976651072502136
8,0,keep,oslo_no_20250708T110000Z_s2b_msil2a_20250708t1046,oslo_no,2025-07-08T11:00:00+00:00,0.17353043208519617,93.61795806884766,100.0,6.382041931152344,6.382041931152344,0.0,0.4976651072502136,0.4976651072502136
9,0,keep,cairo_eg_20241128T090000Z_s2b_msil2a_20241128t0832,cairo_eg,2024-11-28T09:00:00+00:00,0.1536896675825119,93.61795806884766,100.0,6.382041931152344,6.382041931152344,0.0,0.4976651072502136,0.4976651072502136
10,0,keep,reykjavik_is_20250610T130000Z_s2b_msil2a_20250610t1312,reykjavik_is,2025-06-10T13:00:00+00:00,0.2316516488790512,93.61795806884766,100.0,6.382041931152344,6.382041931152344,0.0,0.4976651072502136,0.4976651072502136
11,0,keep,cairo_eg_20250507T090000Z_s2b_msil2a_20250507t0825,cairo_eg,2025-05-07T09:00:00+00:00,0.21946977575620016,93.61795806884766,100.0,6.382041931152344,6.382041931152344,0.0,0.4976651072502136,0.4976651072502136
12,0,keep,athens_gr_20250330T090000Z_s2b_msil2a_20250330t0905,athens_gr,2025-03-30T09:00:00+00:00,0.2450803288569053,93.61795806884766,100.0,6.382041931152344,6.382041931152344,0.0,0.4976651072502136,0.4976651072502136
13,0,keep,athens_gr_20250509T090000Z_s2b_msil2a_20250509t0905,athens_gr,2025-05-09T09:00:00+00:00,0.21076934536298117,93.61795806884766,100.0,6.382041931152344,6.382041931152344,0.0,0.4976651072502136,0.4976651072502136
14,0,keep,cairo_eg_20250414T090000Z_s2a_msil2a_20250414t0835,cairo_eg,2025-04-14T09:00:00+00:00,0.26010237634181976,93.61795806884766,100.0,6.382041931152344,6.382041931152344,0.0,0.4976651072502136,0.4976651072502136
15,0,keep,athens_gr_20250404T090000Z_s2c_msil2a_20250404t0906,athens_gr,2025-04-04T09:00:00+00:00,0.29342309137185413,93.61795806884766,100.0,6.382041931152344,6.382041931152344,0.0,0.4976651072502136,0.4976651072502136
16,0,keep,london_uk_20250810T110000Z_s2b_msil2a_20250810t1056,london_uk,2025-08-10T11:00:00+00:00,0.2286392350991567,93.61795806884766,100.0,6.382041931152344,6.382041931152344,0.0,0.4976651072502136,0.4976651072502136
17,0,keep,reykjavik_is_20241109T130000Z_s2b_msil2a_20241109t1302,reykjavik_is,2024-11-09T13:00:00+00:00,0.2656698127587636,93.61795806884766,100.0,6.382041931152344,6.382041931152344,0.0,0.4976651072502136,0.4976651072502136
18,0,keep,oslo_no_20250722T110000Z_s2a_msil2a_20250722t1037,oslo_no,2025-07-22T11:00:00+00:00,0.2769906173149745,93.61795806884766,100.0,6.382041931152344,6.382041931152344,0.0,0.4976651072502136,0.4976651072502136
19,0,keep,athens_gr_20250406T090000Z_s2a_msil2a_20250406t0913,athens_gr,2025-04-06T09:00:00+00:00,0.2955983529488246,93.61795806884766,100.0,6.382041931152344,6.382041931152344,0.0,0.4976651072502136,0.4976651072502136
20,0,keep,athens_gr_20250509T090000Z_s2b_msil2a_20250509t0905,athens_gr,2025-05-09T09:00:00+00:00,0.23520833253860474,93.61795806884766,100.0,6.382041931152344,6.382041931152344,0.0,0.4976651072502136,0.4976651072502136
21,0,keep,helsinki_fi_20250403T100000Z_s2c_msil2a_20250403t0940,helsinki_fi,2025-04-03T10:00:00+00:00,0.22140868256489435,93.61795806884766,100.0,6.382041931152344,6.382041931152344,0.0,0.4976651072502136,0.4976651072502136
22,0,keep,reykjavik_is_20250615T130000Z_s2c_msil2a_20250615t1313,reykjavik_is,2025-06-15T13:00:00+00:00,0.24266964942216873,93.61795806884766,100.0,6.382041931152344,6.382041931152344,0.0,0.4976651072502136,0.4976651072502136
23,0,keep,athens_gr_20250429T090000Z_s2b_msil2a_20250429t0905,athens_gr,2025-04-29T09:00:00+00:00,0.2572018653154373,93.61795806884766,100.0,6.382041931152344,6.382041931152344,0.0,0.4976651072502136,0.4976651072502136
