dataset_index,sample_id,location,anchor,coverage
124,london_uk_20250728T110000Z_s2a_msil2a_20250728t1057,london_uk,2025-07-28T11:00:00+00:00,0.7096758882204691
121,london_uk_20250721T110000Z_s2b_msil2a_20250721t1056,london_uk,2025-07-21T11:00:00+00:00,0.7650457819302877
122,london_uk_20250726T110000Z_s2c_msil2a_20250726t1056,london_uk,2025-07-26T11:00:00+00:00,0.786683996518453
36,reykjavik_is_20250309T130000Z_s2b_msil2a_20250309t1302,reykjavik_is,2025-03-09T13:00:00+00:00,0.7567434906959534
95,athens_gr_20250524T090000Z_s2c_msil2a_20250524t0906,athens_gr,2025-05-24T09:00:00+00:00,0.7833536863327026
116,oslo_no_20250804T110000Z_s2a_msil2a_20250804t1047,oslo_no,2025-08-04T11:00:00+00:00,0.735725482304891
58,reykjavik_is_20250705T130000Z_s2c_msil2a_20250705t1313,reykjavik_is,2025-07-05T13:00:00+00:00,0.7983946800231934
123,london_uk_20250726T110000Z_s2c_msil2a_20250726t1056,london_uk,2025-07-26T11:00:00+00:00,0.8083222309748331
96,oslo_no_20250625T110000Z_s2b_msil2a_20250625t1036,oslo_no,2025-06-25T11:00:00+00:00,0.4663279155890147
38,reykjavik_is_20250322T130000Z_s2b_msil2a_20250322t1312,reykjavik_is,2025-03-22T13:00:00+00:00,0.49502721428871155
59,reykjavik_is_20250730T130000Z_s2b_msil2a_20250730t1312,reykjavik_is,2025-07-30T13:00:00+00:00,0.4292147954305013
61,reykjavik_is_20250804T130000Z_s2c_msil2a_20250804t1313,reykjavik_is,2025-08-04T13:00:00+00:00,0.4183212071657181
55,reykjavik_is_20250620T130000Z_s2b_msil2a_20250620t1312,reykjavik_is,2025-06-20T13:00:00+00:00,0.4019939104715983
97,oslo_no_20250703T110000Z_s2c_msil2a_20250703t1050,oslo_no,2025-07-03T11:00:00+00:00,0.42109449704488117
